;instance;method;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;brock800_4.txt;base;14;19.0;26;26.9%;1.9%;4.098966836929321;52;4700
1;brock800_4.txt;taboos;14;20.0;26;23.1%;2.8%;37.94166350364685;1088;5242
2;brock800_4.txt;restart;14;20.0;26;23.1%;4.2%;108.04333662986755;3117;6953
3;C2000.5.txt;base;10;14.0;16;12.5%;0.9%;6.389974355697632;49;1962
4;C2000.5.txt;taboos;10;15.0;16;6.2%;1.2%;176.67591500282288;1981;2499
5;C2000.5.txt;restart;10;15.0;16;6.2%;1.1%;111.78002786636353;1335;2797
6;C500.9.txt;base;43;54.0;57;5.3%;7.4%;3.2186825275421143;104;7356
7;C500.9.txt;taboos;43;56.0;57;1.8%;14.2%;186.82865166664124;7143;9067
8;C500.9.txt;restart;43;53.0;57;7.0%;8.0%;11.764960765838623;470;10462
9;gen400_p0.9_75.txt;base;47;51.0;75;32.0%;3.5%;61.35426306724548;2408;9465
10;gen400_p0.9_75.txt;taboos;47;75.0;75;0.0%;26.5%;178.41807413101196;8810;11250
11;gen400_p0.9_75.txt;restart;47;74.0;75;1.3%;25.8%;52.88296055793762;2991;15252
12;p_hat1500-3.txt;base;75;88.0;94;6.4%;2.9%;45.11863303184509;417;2171
13;p_hat1500-3.txt;taboos;75;94.0;94;0.0%;5.9%;138.0599603652954;1684;2849
14;p_hat1500-3.txt;restart;75;90.0;94;4.3%;3.1%;21.293930768966675;273;3094
15;p_hat700-1.txt;base;7;9;11;18.2%;1.4%;3.841466188430786;37;4939
16;p_hat700-1.txt;taboos;7;10;11;9.1%;2.4%;19.665950775146484;643;6077
17;p_hat700-1.txt;restart;7;11;11;0.0%;2.6%;10.666126489639282;284;7519
18;dsjc1000.1.col;base;5;6;5;-20.0%;0.9%;40.02125120162964;884;3884
19;dsjc1000.1.col;taboos;5;6;5;-20.0%;0.9%;24.02332043647766;650;5467
20;dsjc1000.1.col;restart;5;6;5;-20.0%;0.9%;174.52743673324585;6767;9281
21;dsjc1000.5.col;base;10;13;14;7.1%;1.5%;1.8614814281463623;31;4346
22;dsjc1000.5.col;taboos;10;14;14;0.0%;2.2%;62.0935173034668;1170;4635
23;dsjc1000.5.col;restart;10;14;14;0.0%;2.2%;9.48180890083313;229;5252
24;dsjc1000.9.col;base;53;61;57;-7.0%;4.0%;204.3666889667511;3069;3609
25;dsjc1000.9.col;taboos;53;62;57;-8.8%;4.7%;74.76235151290894;1411;4637
26;dsjc1000.9.col;restart;53;59;57;-3.5%;10.4%;11.125893354415894;231;4837
27;dsjc250.5.col;base;8;10;11;9.1%;4.0%;0.04100513458251953;3;11561
28;dsjc250.5.col;taboos;8;12;11;-9.1%;7.2%;49.70560312271118;4551;17292
29;dsjc250.5.col;restart;8;12;11;-9.1%;7.2%;10.60370659828186;1265;22399
30;dsjc500.1.col;base;3;5;5;0.0%;1.2%;0.603999137878418;30;10158
31;dsjc500.1.col;taboos;3;5;5;0.0%;1.6%;0.8639853000640869;55;14088
32;dsjc500.1.col;restart;3;5;5;0.0%;1.2%;0.4869663715362549;30;21044
33;dsjc500.5.col;base;8;11;12;8.3%;3.0%;4.165000677108765;113;7565
34;dsjc500.5.col;taboos;8;13;12;-8.3%;4.2%;43.971559047698975;1756;8055
35;dsjc500.5.col;restart;8;13;12;-8.3%;3.8%;40.456371784210205;2027;10864
36;dsjc500.9.col;base;43;51;51;0.0%;6.8%;11.964239120483398;364;7353
37;dsjc500.9.col;taboos;43;52;51;-2.0%;11.4%;50.722440004348755;2032;8584
38;dsjc500.9.col;restart;43;52;51;-2.0%;15.4%;175.84120750427246;7474;10190